Year,Status,No.,School Grade,Value
2022,Public,28,Not-yet,5
2023,Public,28,C,3
2022,Public,28,C,3
2021,Private,28,Not-yet,3
2023,Private,28,C,2
2023,Private,28,Not-yet,2
2023,Public,28,B,2
2022,Public,28,B,2
2022,Private,28,C,2
2022,Private,28,Not-yet,2
2021,Private,28,C,2
2023,Private,28,B,1
2023,Public,28,A,1
2022,Public,28,A,1
2022,Private,28,B,1
2021,Public,28,A,1
2021,Public,28,B,1
2023,Private,28,No,0
2023,Public,28,No,0
2022,Public,28,No,0
2022,Private,28,No,0
2021,Public,28,No,0
2021,Private,28,No,0
2023,Private,28,A,0
2022,Private,28,A,0
2021,Private,28,A,0
2021,Public,28,C,0
2021,Private,28,B,0
2023,Private,29,Not-yet,7
2023,Public,29,B,6
2022,Public,29,B,6
2021,Public,29,B,6
2021,Public,29,Not-yet,6
2023,Public,29,C,5
2023,Public,29,Not-yet,5
2022,Public,29,C,5
2022,Public,29,Not-yet,5
2022,Private,29,Not-yet,4
2021,Public,29,C,3
2021,Private,29,Not-yet,3
2023,Private,29,B,1
2023,Public,29,A,1
2022,Public,29,A,1
2022,Private,29,B,1
2021,Public,29,A,1
2021,Private,29,B,1
2023,Private,29,No,0
2023,Public,29,No,0
2022,Public,29,No,0
2022,Private,29,No,0
2021,Public,29,No,0
2021,Private,29,No,0
2023,Private,29,A,0
2022,Private,29,A,0
2021,Private,29,A,0
2023,Private,29,C,0
2022,Private,29,C,0
2021,Private,29,C,0
2023,Public,30,B,7
2022,Public,30,B,7
2021,Public,30,Not-yet,6
2021,Public,30,B,4
2023,Public,30,Not-yet,3
2022,Public,30,Not-yet,3
2023,Private,30,B,2
2023,Public,30,A,2
2022,Public,30,A,2
2022,Private,30,B,2
2021,Public,30,A,2
2021,Private,30,B,2
2023,Private,30,No,0
2023,Public,30,No,0
2022,Public,30,No,0
2022,Private,30,No,0
2021,Public,30,No,0
2021,Private,30,No,0
2023,Private,30,A,0
2022,Private,30,A,0
2021,Private,30,A,0
2023,Private,30,C,0
2023,Public,30,C,0
2022,Public,30,C,0
2022,Private,30,C,0
2021,Public,30,C,0
2021,Private,30,C,0
2023,Private,30,Not-yet,0
2022,Private,30,Not-yet,0
2021,Private,30,Not-yet,0
2023,Private,31,C,15
2022,Private,31,Not-yet,15
2021,Private,31,Not-yet,15
2023,Private,31,Not-yet,13
2022,Private,31,C,13
2021,Private,31,C,13
2021,Public,31,Not-yet,10
2022,Public,31,Not-yet,8
2023,Public,31,Not-yet,7
2023,Private,31,B,6
2023,Public,31,B,5
2022,Public,31,B,5
2023,Public,31,A,4
2022,Public,31,A,4
2022,Private,31,B,4
2021,Public,31,A,4
2021,Public,31,B,4
2021,Private,31,B,4
2023,Public,31,C,2
2023,Public,31,No,1
2022,Public,31,C,1
2023,Private,31,No,0
2022,Public,31,No,0
2022,Private,31,No,0
2021,Public,31,No,0
2021,Private,31,No,0
2023,Private,31,A,0
2022,Private,31,A,0
2021,Private,31,A,0
2021,Public,31,C,0
2021,Public,32,Not-yet,25
