Year,Status,No.,Disability Type,Total
2021,Private,13,Blind,39
2023,Public,13,Blind,20
2023,Public,13,Deaf,329
2023,Public,13,Others,383
2023,Public,13,Mentally Retarded,1059
2023,Public,13,Physically Handicapped,52
2022,Public,13,Deaf,331
2022,Public,13,Others,301
2022,Public,13,Blind,16
2022,Public,13,Mentally Retarded,1023
2022,Public,13,Physically Handicapped,52
2021,Public,13,Mentally Retarded,1008
2021,Public,13,Blind,13
2021,Public,13,Deaf,344
2021,Public,13,Physically Handicapped,49
2021,Public,13,Others,234
2023,Private,14,Mentally Retarded,123
2023,Private,14,Deaf,32
2023,Private,14,Physically Handicapped,19
2023,Private,14,Blind,1
2023,Private,14,Others,44
2022,Private,14,Others,37
2022,Private,14,Mentally Retarded,123
2022,Private,14,Deaf,34
2022,Private,14,Blind,1
2022,Private,14,Physically Handicapped,12
2021,Private,14,Blind,2
2021,Private,14,Physically Handicapped,11
2021,Private,14,Mentally Retarded,124
2021,Private,14,Deaf,37
2021,Private,14,Others,28
2023,Public,14,Blind,30
2023,Public,14,Mentally Retarded,583
2023,Public,14,Deaf,148
2023,Public,14,Others,275
2023,Public,14,Physically Handicapped,62
2022,Public,14,Blind,30
2022,Public,14,Others,238
2022,Public,14,Deaf,158
2022,Public,14,Physically Handicapped,59
2022,Public,14,Mentally Retarded,565
2021,Public,14,Deaf,148
2021,Public,14,Blind,28
2021,Public,14,Mentally Retarded,558
2021,Public,14,Others,200
2021,Public,14,Physically Handicapped,52
2023,Private,15,Blind,8
2023,Private,15,Physically Handicapped,1
2023,Private,15,Others,84
2023,Private,15,Mentally Retarded,99
2023,Private,15,Deaf,20
2022,Private,15,Deaf,11
2022,Private,15,Physically Handicapped,0
2022,Private,15,Mentally Retarded,88
2022,Private,15,Others,83
2022,Private,15,Blind,9
2021,Private,15,Mentally Retarded,90
2021,Private,15,Others,75
2021,Private,15,Physically Handicapped,0
2021,Private,15,Blind,11
2021,Private,15,Deaf,10
2023,Public,15,Blind,21
2023,Public,15,Physically Handicapped,45
2023,Public,15,Others,202
2023,Public,15,Deaf,189
2023,Public,15,Mentally Retarded,778
2022,Public,15,Deaf,185
2022,Public,15,Blind,19
2022,Public,15,Others,160
2022,Public,15,Physically Handicapped,61
2022,Public,15,Mentally Retarded,814
2021,Public,15,Mentally Retarded,851
2021,Public,15,Deaf,184
2021,Public,15,Blind,19
2021,Public,15,Others,127
2021,Public,15,Physically Handicapped,64
2023,Private,16,Blind,30
2023,Private,16,Deaf,97
2023,Private,16,Mentally Retarded,449
2023,Private,16,Others,233
2023,Private,16,Physically Handicapped,14
