Year,Status,No.,Schools,New Students,Students,Repeaters,Drop-Outs,Graduates,Teachers,Non-teaching Staffs,Classes,Classrooms
2022,Private,12,6,70,296,0,1,43,51,6,41,38
2022,Public,12,14,473,1894,0,5,439,359,70,439,263
2022,Private,13,22,275,116,0,0,302,240,17,264,206
2022,Public,13,16,389,1723,0,5,368,264,66,300,220
2023,Public,13,16,486,1843,0,3,395,289,70,320,240
2022,Private,14,2,47,207,0,0,50,21,2,35,23
2023,Private,14,2,47,219,0,0,35,23,2,37,23
2022,Public,14,7,227,105,0,1,205,144,35,240,120
2023,Private,15,3,52,212,0,0,37,44,5,44,41
2022,Private,15,3,36,191,0,0,52,43,5,52,41
2022,Public,15,15,244,1239,0,5,286,276,47,272,254
2023,Public,16,13,369,1364,0,10,350,225,47,270,223
2022,Public,16,13,322,1394,0,3,326,256,43,248,208
2022,Private,16,17,146,759,0,1,148,183,35,192,190
2023,Public,17,15,297,1140,0,3,225,136,19,198,143
2022,Private,17,9,184,756,0,5,152,101,13,95,108
2022,Public,17,14,219,1026,0,5,226,137,15,160,144
2023,Public,18,20,289,1190,0,0,236,311,32,287,216
2022,Public,18,21,280,1158,0,20,296,330,31,205,212
2022,Private,18,4,31,149,0,0,26,29,2,37,29
2022,Public,19,21,590,2486,0,14,590,630,86,508,452
2022,Private,19,4,28,151,0,0,18,45,5,64,58
2022,Public,20,11,346,1666,0,6,400,246,52,274,208
2023,Private,18,5,31,183,0,0,24,31,2,42,30
2022,Private,20,23,218,900,0,0,203,163,36,264,177
2022,Public,21,5,102,556,0,3,116,89,16,101,47
2022,Private,21,0,0,0,0,0,0,0,0,0,0
2022,Public,22,6,50,355,0,0,56,99,6,137,107
2022,Private,22,28,287,1298,0,7,334,209,5,346,254
2022,Public,23,8,197,1079,0,14,211,229,26,286,112
2022,Private,23,0,0,0,0,0,0,0,0,0,0
2022,Public,24,16,186,920,0,13,218,169,49,198,222
2023,Private,20,24,294,1038,0,4,193,148,48,247,209
2022,Private,24,17,142,618,0,8,116,111,15,174,88
2022,Public,25,23,438,1815,0,13,373,588,70,484,348
2022,Private,25,68,658,2904,0,12,660,625,66,882,578
2022,Public,26,13,126,623,0,0,152,213,91,180,132
2022,Private,26,12,89,520,0,2,117,68,25,119,67
2022,Public,27,17,150,676,0,7,171,170,9,182,169
2022,Private,27,62,354,2056,0,29,451,538,25,786,490
2023,Private,21,1,6,13,0,0,0,3,0,7,3
2022,Public,28,11,115,622,0,6,150,127,6,166,123
2022,Private,28,5,36,231,0,0,90,44,0,56,41
2022,Public,29,17,181,790,0,2,216,217,54,208,161
2022,Private,29,5,16,109,0,1,23,33,4,62,18
2022,Public,30,12,483,2238,0,4,511,351,115,361,301
2022,Private,30,2,34,156,0,0,42,22,2,15,21
2022,Public,31,18,491,2163,0,14,339,404,71,521,308
2023,Public,22,6,69,355,0,0,81,98,8,121,107
2022,Private,31,32,402,1803,0,17,404,403,36,443,312
2022,Public,32,32,549,2302,0,11,495,596,144,537,348
2022,Private,32,11,135,618,0,2,89,118,29,182,84
2022,Public,33,7,123,635,0,1,141,95,18,109,86
2022,Private,33,4,242,501,0,106,77,30,2,38,46
2022,Public,34,4,65,242,0,0,69,26,2,65,28
2022,Private,34,1,9,42,0,0,3,8,0,10,9
2023,Private,23,0,0,0,0,0,0,0,0,0,0
2023,Private,28,5,71,243,0,1,56,37,1,61,41
2023,Private,29,8,37,149,0,0,34,23,5,35,22
2023,Public,29,17,199,750,0,0,211,191,46,180,162
2023,Private,30,2,41,147,0,0,51,21,2,23,23
2023,Public,30,12,586,2340,0,3,500,345,114,456,314
2023,Private,34,3,373,843,0,5,58,25,2,58,64
2023,Private,1,73,848,3469,4,2,766,652,103,791,902
2023,Public,2,56,2131,7899,10,55,1451,1471,521,2061,808
2023,Private,2,331,5203,20576,287,57,4358,2757,341,5148,2270
2023,Private,3,103,1202,5127,17,42,1010,803,192,1438,751
2023,Private,4,147,2750,10622,121,17,2303,1424,133,1993,1681
2023,Public,4,41,2785,10350,59,21,2373,1286,207,1611,879
2023,Private,5,72,911,3583,5,4,936,716,58,996,839
2023,Public,6,71,1547,6022,34,25,1326,1082,168,1301,856
2023,Private,6,331,4063,16033,267,39,3472,2634,135,3696,2797
2023,Public,7,30,703,2846,22,24,542,723,119,809,439
2023,Private,7,36,468,1962,65,32,403,382,98,566,313
2023,Private,8,31,755,2601,9,12,478,297,15,457,350
2023,Public,8,29,801,3136,136,29,515,529,38,656,383
2023,Public,9,29,552,2205,27,18,477,501,50,564,329
2023,Private,9,146,1150,5111,97,20,1022,999,102,1396,1089
2023,Private,10,30,421,1782,33,10,369,222,26,438,253
2023,Public,11,10,239,1005,10,11,196,145,36,244,141
2023,Private,11,12,150,632,8,0,126,116,14,132,140
2023,Private,13,23,284,1220,1,0,262,193,18,271,199
2023,Public,14,7,283,1098,4,0,235,147,39,332,126
2023,Public,15,15,297,1235,32,24,249,279,50,295,273
2023,Private,16,18,221,823,1,0,163,150,43,216,201
2023,Private,17,11,195,835,78,0,137,109,21,120,124
2023,Public,19,22,666,2666,5,13,521,663,105,691,458
2023,Private,19,4,26,154,1,1,22,40,8,64,58
2023,Public,20,11,477,1798,6,14,405,261,56,313,221
2023,Public,21,6,135,598,15,0,129,87,19,171,61
2023,Private,22,29,320,1288,22,2,269,193,8,295,257
2023,Public,23,8,224,1060,27,47,209,213,25,307,114
2023,Private,24,17,145,669,21,20,112,114,17,174,87
2023,Public,24,16,241,924,12,8,255,148,50,238,229
2023,Private,25,71,688,2855,26,16,664,529,75,868,585
2023,Public,25,23,552,1954,25,42,414,594,72,600,354
2023,Private,26,12,118,452,11,3,167,56,34,131,66
2023,Public,26,13,142,637,1,0,126,206,75,210,143
2023,Private,27,65,397,1925,63,23,515,429,37,565,518
2023,Public,27,17,197,714,1,2,183,180,20,241,181
2023,Public,28,11,139,608,10,10,164,129,10,155,127
2023,Private,31,34,426,1808,87,35,350,312,39,448,332
2023,Public,31,19,614,2326,9,4,483,428,86,647,309
2023,Public,32,35,600,2506,21,17,453,609,149,602,375
2023,Private,32,11,168,686,6,5,125,111,32,111,92
2023,Private,33,2,8,63,6,0,6,10,0,18,13
2023,Public,33,5,109,397,1,13,99,56,15,59,60
2023,Public,34,6,131,474,26,3,134,53,8,104,88
