School,Year,Province,Public School,Private School,Cililian Teacher,Private Teacher,Public Students,Private Students
SMA,2022/2023,Bali,88,75,4554,1162,79732,14293
SMA,2022/2023,Nusa Tenggara Barat,150,193,7274,2113,90179,20036
SMA,2022/2023,Nusa Tenggara Timur,386,212,11699,4716,143294,60944
SMA,2022/2023,Kalimantan Barat,273,186,6077,2043,100690,29550
SMA,2022/2023,Kalimantan Tengah,181,61,4463,661,54913,6201
SMA,2022/2023,Kalimantan Selatan,142,63,4279,754,59613,6852
SMA,2022/2023,Kalimantan Timur,143,90,4147,1048,66986,13234
SMA,2022/2023,Kalimantan Utara,44,23,1150,265,15292,2923
SMA,2022/2023,Sulawesi Utara,121,109,3738,1093,48938,13798
SMA,2022/2023,Sulawesi Tengah,176,56,5144,619,72724,6543
SMA,2022/2023,Sulawesi Selatan,335,264,12973,2971,193752,35623
SMA,2022/2023,Sulawesi Tenggara,249,64,7272,572,88905,5297
SMA,2022/2023,Gorontalo,61,9,1958,127,29992,1270
SMA,2022/2023,Sulawesi Barat,77,14,2288,103,27994,1154
SMA,2022/2023,Maluku,211,73,5357,1300,57923,11619
SMA,2022/2023,Maluku Utara,139,78,2844,785,34566,8539
SMA,2022/2023,Papua BaratBarat,82,49,1643,735,23003,6917
SMA,2022/2023,Papua,144,112,3376,1607,50184,21133
SMA,2022/2023,Indonesia,6987,7249,250089,97888,3819392,1349183
SMA,2023/2024,Aceh,394,145,12463,1593,118487,19170
SMA,2023/2024,Sumatera Utara,432,635,16265,8137,248734,141165
SMA,2023/2024,Sumatera Barat,236,102,9800,1340,138979,14556
SMA,2023/2024,Riau,313,154,10280,2093,148011,24284
SMA,2023/2024,Jambi,163,84,5327,804,71000,10429
SMA,2023/2024,Sumatera Selatan,330,283,12180,3276,171193,48921
SMA,2023/2024,Bengkulu,109,42,3936,351,51685,3009
SMA,2023/2024,Lampung,239,288,8363,3342,128161,44657
SMA,2023/2024,Kepulauan Bangka Belitung,47,27,1493,335,27129,4325
SMA,2023/2024,Kepulauan Riau,93,75,3004,778,49014,8261
SMA,2023/2024,DKI Jakarta,117,379,5184,6859,88181,103924
SMA,2023/2024,Jawa Barat,514,1254,25780,17476,530509,293262
SMA,2023/2024,Jawa Tengah,362,499,18389,7746,343035,109919
SMA,2023/2024,DI Yogyakarta,69,104,2642,1701,43387,17744
SMA,2023/2024,Jawa Timur,423,1094,19970,14841,351429,197252
SMA,2023/2024,Banten,161,446,6630,6107,144431,80877
SMA,2023/2024,Bali,90,73,4759,1095,81893,13792
SMA,2023/2024,Nusa Tenggara Barat,150,215,7551,2183,96571,20349
SMA,2023/2024,Nusa Tenggara Timur,393,218,12626,4667,145341,61698
SMA,2023/2024,Kalimantan Barat,285,187,6590,2011,102734,29833
SMA,2023/2024,Kalimantan Tengah,181,64,4462,686,56103,6568
SMA,2023/2024,Kalimantan Selatan,142,65,4296,740,60883,7281
SMA,2023/2024,Kalimantan Timur,145,92,4290,1105,68792,13541
SMA,2023/2024,Kalimantan Utara,46,22,1205,252,16080,2806
SMA,2023/2024,Sulawesi Utara,121,108,3754,1035,50115,13452
SMA,2023/2024,Sulawesi Tengah,176,58,5077,606,73086,6780
SMA,2023/2024,Sulawesi Selatan,337,270,13382,2785,193254,36763
SMA,2023/2024,Sulawesi Tenggara,251,64,7969,566,89328,5209
SMA,2023/2024,Gorontalo,62,9,1950,123,30376,1270
SMA,2023/2024,Sulawesi Barat,77,15,2373,91,28370,1295
SMA,2023/2024,Maluku,215,73,5485,1236,57822,11768
SMA,2023/2024,Maluku Utara,139,85,3201,744,35868,8941
SMA,2023/2024,Papua BaratBarat,43,21,954,331,13327,3554
