Year,Status,No.,Internet,Total
2023,Public,26,Unavaiable,3
2021,Private,27,Unavaiable,35
2023,Public,27,Avaiable,11
2021,Private,27,Avaiable,26
2021,Public,27,Avaiable,7
2021,Public,27,Unavaiable,10
2022,Public,27,Avaiable,9
2022,Public,27,Unavaiable,8
2022,Private,27,Avaiable,32
2023,Private,27,Unavaiable,15
2022,Private,27,Unavaiable,30
2023,Public,27,Unavaiable,6
2023,Private,27,Avaiable,50
2021,Public,28,Avaiable,2
2021,Private,28,Avaiable,4
2021,Public,28,Unavaiable,7
2022,Private,28,Avaiable,3
2022,Public,28,Unavaiable,8
2022,Private,28,Unavaiable,2
2021,Private,28,Unavaiable,1
2023,Private,28,Unavaiable,0
2023,Public,28,Unavaiable,0
2022,Public,28,Avaiable,3
2023,Private,28,Avaiable,5
2023,Public,28,Avaiable,11
2022,Public,29,Unavaiable,8
2022,Private,29,Unavaiable,2
2022,Private,29,Avaiable,3
2021,Public,29,Avaiable,13
2021,Public,29,Unavaiable,3
2022,Public,29,Avaiable,9
2023,Private,29,Avaiable,3
2023,Public,29,Unavaiable,5
2023,Private,29,Unavaiable,5
2021,Private,29,Unavaiable,1
2021,Private,29,Avaiable,3
2023,Public,29,Avaiable,12
2022,Public,30,Avaiable,6
2021,Public,30,Avaiable,7
2023,Private,30,Unavaiable,0
2023,Public,30,Avaiable,12
2023,Public,30,Unavaiable,0
2023,Private,30,Avaiable,2
2022,Public,30,Unavaiable,6
2021,Public,30,Unavaiable,5
2021,Private,30,Avaiable,2
2021,Private,30,Unavaiable,0
2022,Private,30,Unavaiable,1
2022,Private,30,Avaiable,1
2021,Public,31,Unavaiable,4
2021,Public,31,Avaiable,14
2021,Private,31,Unavaiable,13
2021,Private,31,Avaiable,19
2023,Public,31,Avaiable,17
2023,Private,31,Unavaiable,6
2023,Private,31,Avaiable,28
2023,Public,31,Unavaiable,2
2022,Public,31,Unavaiable,6
2022,Private,31,Unavaiable,10
2022,Public,31,Avaiable,12
2022,Private,31,Avaiable,22
2022,Public,32,Avaiable,23
2021,Public,32,Avaiable,23
2021,Private,32,Unavaiable,3
